ID,spaceId,duration,number_of_participants,start_date,end_date,createdAt,updatedAt,roomSid
120066,22135,8,1,7/1/2023 23:25,7/1/2023 23:25,7/1/2023 23:25,7/1/2023 23:25,314baef9-3204-4431-b094-111c0142359a
120067,22137,15,1,7/1/2023 23:25,7/1/2023 23:25,7/1/2023 23:25,7/1/2023 23:25,da444cb4-fc00-4340-8365-4d6e67d4de10
120068,22135,8,1,7/1/2023 23:25,7/1/2023 23:25,7/1/2023 23:25,7/1/2023 23:25,2e79386c-5699-433e-8ba5-4b19233667cb
120069,22137,44,1,7/1/2023 23:25,7/1/2023 23:26,7/1/2023 23:25,7/1/2023 23:26,143e6e5b-803a-4dfe-b2a6-362c97119b1f
120070,22135,11,2,7/1/2023 23:25,7/1/2023 23:25,7/1/2023 23:25,7/1/2023 23:25,9704ab36-a52a-4e58-b50d-fd056fbf75a0
120071,22137,24,1,7/1/2023 23:26,7/1/2023 23:26,7/1/2023 23:26,7/1/2023 23:26,3e4b1dcd-115c-40c0-9e27-5e06752bfb07
120072,22135,8,1,7/1/2023 23:26,7/1/2023 23:27,7/1/2023 23:26,7/1/2023 23:27,f1535629-cf31-48c6-b996-de0515b30858
120073,17760,2,1,7/1/2023 23:27,7/1/2023 23:27,7/1/2023 23:27,7/1/2023 23:27,993ce26f-44c4-4200-8c48-9ad1b85a50e4
120074,22135,118,1,7/1/2023 23:27,7/1/2023 23:29,7/1/2023 23:27,7/1/2023 23:29,b0d6e79a-8457-4466-a42b-7ca77cef38a1
120075,17760,9,2,7/1/2023 23:27,7/1/2023 23:27,7/1/2023 23:27,7/1/2023 23:27,69509480-d625-42ba-8323-2a44798ab1cc
120076,22135,118,1,7/1/2023 23:29,7/1/2023 23:31,7/1/2023 23:29,7/1/2023 23:31,6adc83e5-3c72-48ba-b115-cb7a42041e01
120077,22135,11,2,7/1/2023 23:31,7/1/2023 23:31,7/1/2023 23:31,7/1/2023 23:31,c0387252-04e3-42d7-8df7-ab7b1a040fc0
120078,21542,6,1,7/2/2023 15:27,7/2/2023 15:27,7/2/2023 15:27,7/2/2023 15:27,857d18ef-4785-458b-98bf-88903d59fc5e
120079,21544,5,1,7/2/2023 15:27,7/2/2023 15:27,7/2/2023 15:27,7/2/2023 15:27,dd4466db-fe6a-46ea-94e5-cc9fff195a25
120080,21542,35,1,7/2/2023 15:27,7/2/2023 15:28,7/2/2023 15:27,7/2/2023 15:28,f241d817-f721-4866-aa67-0d4dbf6841cb
120081,21544,34,1,7/2/2023 15:27,7/2/2023 15:28,7/2/2023 15:27,7/2/2023 15:28,e578e4f5-ae79-4be2-8df4-7d7fd63d1479
120082,21542,11,1,7/2/2023 15:29,7/2/2023 15:29,7/2/2023 15:29,7/2/2023 15:29,7126b31f-9303-48ae-8eec-a983c2bcea9f
120083,21544,11,1,7/2/2023 15:29,7/2/2023 15:29,7/2/2023 15:29,7/2/2023 15:29,eda4c198-2180-40ce-9c8f-09df6f07eac1
120084,21542,218,1,7/2/2023 15:29,7/2/2023 15:33,7/2/2023 15:29,7/2/2023 15:33,e03eaa41-739a-45aa-a634-6dd606949008
120085,21542,217,1,7/2/2023 15:37,7/2/2023 15:40,7/2/2023 15:37,7/2/2023 15:40,b4fa644c-4635-4a42-91d5-7f378d6f8e20
120086,21542,198,1,7/2/2023 17:50,7/2/2023 17:53,7/2/2023 17:50,7/2/2023 17:53,9948646c-c11f-4e98-bef1-1172fef51196
120087,21542,2236,1,7/2/2023 17:54,7/2/2023 18:31,7/2/2023 17:54,7/2/2023 18:31,6b90e85d-e0cb-4f3a-bf90-e6135f7f2bb5
120088,21542,266,1,7/2/2023 18:34,7/2/2023 18:38,7/2/2023 18:34,7/2/2023 18:38,38ec081a-c02b-456f-90a7-44a23b160b80
120089,21542,148,1,7/2/2023 18:40,7/2/2023 18:43,7/2/2023 18:40,7/2/2023 18:43,77a67d97-0223-4414-98e0-ee1b382e7079
120090,21542,4177,1,7/2/2023 18:43,7/2/2023 19:53,7/2/2023 18:43,7/2/2023 19:53,e53e53b9-056f-4c78-a6a5-1727ffff58cb
120091,21542,1133,1,7/2/2023 19:53,7/2/2023 20:12,7/2/2023 19:53,7/2/2023 20:12,aa350cfb-6bfe-4d1c-8f44-e90e39906f75
120092,21542,3790,1,7/2/2023 20:12,7/2/2023 21:15,7/2/2023 20:12,7/2/2023 21:15,79d55db2-3faa-4666-af35-b38187a2c844
120093,21542,1314,1,7/2/2023 21:41,7/2/2023 22:03,7/2/2023 21:41,7/2/2023 22:03,a6b238eb-71de-43c1-9555-9f74f7d17f34
120094,22142,4,1,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,13c17f21-30f7-4359-a70f-a54994eca9c4
120095,22142,9,1,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,8fc28cfc-c14e-423a-8663-6816267e3e89
120096,22142,10,1,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,80173d5e-ef24-468f-9662-5964b2270eaa
120097,22145,11,1,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,3c9843d9-ef35-4a9e-ba2c-f70b6bc73a52
120098,22144,15,2,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,3646591b-a723-4f33-acc3-de2334a14832
120099,22142,12,1,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,45af9608-1c7d-48e9-bda8-4ebb5380f07c
120100,22145,14,1,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,ba610f9a-e8e3-4b2c-96d9-0f541c8a42e1
120101,22144,7,2,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,7/2/2023 23:21,4e6b5f57-9939-4528-9178-d4bf59deee0e
120102,22142,13,1,7/2/2023 23:21,7/2/2023 23:22,7/2/2023 23:21,7/2/2023 23:22,7c00da2e-1462-4cd4-86f6-dc27d40a0e36
120103,22145,14,2,7/2/2023 23:21,7/2/2023 23:22,7/2/2023 23:21,7/2/2023 23:22,e627e5bf-a229-41c4-bc7a-0f7ce43f97cf
120104,22144,20,2,7/2/2023 23:21,7/2/2023 23:22,7/2/2023 23:21,7/2/2023 23:22,e4ec03de-1272-4882-a49d-1f2633a02663
120105,22142,16,1,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,6d7a2fce-1c44-468e-98f7-6f39a31bd60e
120106,22145,8,2,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,4558cb80-6a4d-41c3-8028-e83e1d7acc25
120107,22144,18,2,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,f4db3f0e-de30-4249-8387-68362245f0a1
120108,22142,12,1,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,bbff0ac2-496d-42c4-ac31-fe3a89bf1758
120109,22145,2,1,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,8d006a04-178d-4034-b5e7-8374d49826d4
120110,22145,2,1,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,abae31ff-9992-4b89-b381-1d737d5b4674
120111,22145,2,1,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,1515b8f0-2f92-42c5-9d8f-5eca210b3bcf
120112,22142,14,1,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,9b1b3ef4-1426-44f5-8dac-a19ca4bf9330
120113,22145,2,1,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,e67440c4-6450-44d2-8156-9259c2bc1c6c
120114,22144,3,1,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,cb87c506-c99e-4acd-a11d-012bccb4dac8
120115,22145,2,1,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,3381695e-41a8-4711-92f2-d3dd9c54a332
120116,22144,5,1,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,e5b98cfa-8331-4d7b-9100-39910afbb023
120117,22145,3,1,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,7/2/2023 23:22,49d24425-ce73-423a-835e-35d0f870f217
