ID,spaceSessionId,userId,createdAt,updatedAt,joinDate,leftDate,parentSpaceSessionId,openSpaceUser
160390,128020,331,8/25/2023 10:59,8/25/2023 10:59,8/25/2023 10:56,8/25/2023 10:59,,0
160391,128022,334,8/25/2023 11:05,8/25/2023 11:05,8/25/2023 10:57,8/25/2023 11:05,,0
160392,128025,334,8/25/2023 11:20,8/25/2023 11:20,8/25/2023 11:05,8/25/2023 11:20,,0
160393,128028,314,8/25/2023 11:34,8/25/2023 11:34,8/25/2023 11:27,8/25/2023 11:33,128026,0
160394,128028,306,8/25/2023 11:34,8/25/2023 11:34,8/25/2023 11:23,8/25/2023 11:33,128026,0
160395,128028,14327,8/25/2023 11:34,8/25/2023 11:34,8/25/2023 11:30,8/25/2023 11:34,128026,0
160396,128027,14266,8/25/2023 11:34,8/25/2023 11:34,8/25/2023 11:23,8/25/2023 11:34,128026,0
160397,128033,1612,8/25/2023 11:34,8/25/2023 11:34,8/25/2023 11:31,8/25/2023 11:34,128026,0
160398,128031,300,8/25/2023 11:34,8/25/2023 11:34,8/25/2023 11:23,8/25/2023 11:34,128026,0
160399,128036,300,8/25/2023 11:35,8/25/2023 11:35,8/25/2023 11:35,8/25/2023 11:35,128034,0
160400,128036,14266,8/25/2023 11:35,8/25/2023 11:35,8/25/2023 11:35,8/25/2023 11:35,128034,0
160401,128036,14327,8/25/2023 11:35,8/25/2023 11:35,8/25/2023 11:35,8/25/2023 11:35,128034,0
160402,128038,1612,8/25/2023 11:36,8/25/2023 11:36,8/25/2023 11:36,8/25/2023 11:36,128037,0
160403,128041,300,8/25/2023 11:55,8/25/2023 11:55,8/25/2023 11:36,8/25/2023 11:55,128039,0
160404,128040,14266,8/25/2023 11:55,8/25/2023 11:55,8/25/2023 11:36,8/25/2023 11:54,128039,0
160405,127987,306,8/25/2023 12:00,8/25/2023 12:00,8/25/2023 8:11,8/25/2023 8:29,127986,0
160406,127987,300,8/25/2023 12:00,8/25/2023 12:00,8/25/2023 8:11,8/25/2023 10:46,127986,0
160407,127991,334,8/25/2023 12:00,8/25/2023 12:00,8/25/2023 8:12,8/25/2023 8:31,127986,0
160408,127992,30651,8/25/2023 12:00,8/25/2023 12:00,8/25/2023 8:11,8/25/2023 12:00,127986,0
160409,128049,14327,8/25/2023 12:09,8/25/2023 12:09,8/25/2023 12:08,8/25/2023 12:09,,0
160410,128043,300,8/25/2023 12:22,8/25/2023 12:22,8/25/2023 11:41,8/25/2023 12:22,,0
160411,128056,1612,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 12:10,8/25/2023 13:11,,0
160412,128056,300,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 12:10,8/25/2023 12:12,,0
160413,128055,300,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 12:09,8/25/2023 12:10,,0
160414,128055,1612,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 12:10,8/25/2023 13:11,,0
160415,128032,1612,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 11:28,8/25/2023 13:11,,0
160416,128032,69637,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 11:30,8/25/2023 13:11,,0
160417,128032,1192,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 11:30,8/25/2023 12:29,,0
160418,128032,300,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 12:04,8/25/2023 12:09,,0
160419,127981,306,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 8:06,8/25/2023 11:37,,0
160420,128051,14266,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 12:08,8/25/2023 12:09,128050,0
160421,127982,12764,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 8:00,8/25/2023 8:04,127981,0
160422,127982,2147481617,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 8:12,8/25/2023 9:09,127981,1
160423,127982,334,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 8:05,8/25/2023 9:09,127981,0
160424,127982,331,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 8:08,8/25/2023 11:26,127981,0
160425,127982,1612,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 11:15,8/25/2023 13:11,127981,0
160426,127982,300,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 8:05,8/25/2023 12:33,127981,0
160427,127982,30651,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 8:00,8/25/2023 12:37,127981,0
160428,127982,14266,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 8:04,8/25/2023 11:54,127981,0
160429,127982,314,8/25/2023 13:11,8/25/2023 13:11,8/25/2023 11:26,8/25/2023 11:34,127981,0
